"id","country","state","city","state_code","city_code","country_code"
"150","中国","安徽","淮北","34","6","1"
"151","中国","安徽","铜陵","34","7","1"
"152","中国","安徽","安庆","34","8","1"
"153","中国","安徽","黄山","34","10","1"
"154","中国","安徽","滁州","34","11","1"
"155","中国","安徽","阜阳","34","12","1"
"156","中国","安徽","宿州","34","13","1"
"157","中国","安徽","六安","34","15","1"
"158","中国","安徽","亳州","34","16","1"
"159","中国","安徽","池州","34","17","1"
"160","中国","安徽","宣城","34","18","1"
"161","中国","福建","福州","35","1","1"
"162","中国","福建","厦门","35","2","1"
"163","中国","福建","莆田","35","3","1"
"164","中国","福建","三明","35","4","1"
"165","中国","福建","泉州","35","5","1"
"166","中国","福建","漳州","35","6","1"
"167","中国","福建","南平","35","7","1"
"168","中国","福建","龙岩","35","8","1"
"169","中国","福建","宁德","35","9","1"
"170","中国","江西","南昌","36","1","1"
"171","中国","江西","景德镇","36","2","1"
"172","中国","江西","萍乡","36","3","1"
"173","中国","江西","九江","36","4","1"
"174","中国","江西","新余","36","5","1"
"175","中国","江西","鹰潭","36","6","1"
"176","中国","江西","赣州","36","7","1"
"177","中国","江西","吉安","36","8","1"
"178","中国","江西","宜春","36","9","1"
"179","中国","江西","抚州","36","10","1"
"180","中国","江西","上饶","36","11","1"
"181","中国","山东","济南","37","1","1"
"182","中国","山东","青岛","37","2","1"
"183","中国","山东","淄博","37","3","1"
"184","中国","山东","枣庄","37","4","1"
"185","中国","山东","东营","37","5","1"
"186","中国","山东","烟台","37","6","1"
"187","中国","山东","潍坊","37","7","1"
"188","中国","山东","济宁","37","8","1"
"189","中国","山东","泰安","37","9","1"
"190","中国","山东","威海","37","10","1"
"191","中国","山东","日照","37","11","1"
"192","中国","山东","莱芜","37","12","1"
"193","中国","山东","临沂","37","13","1"
"194","中国","山东","德州","37","14","1"
"195","中国","山东","聊城","37","15","1"
"196","中国","山东","滨州","37","16","1"
"197","中国","山东","菏泽","37","17","1"
"198","中国","河南","郑州","41","1","1"
"199","中国","河南","开封","41","2","1"
"200","中国","河南","洛阳","41","3","1"
"201","中国","河南","平顶山","41","4","1"
"202","中国","河南","安阳","41","5","1"
"203","中国","河南","鹤壁","41","6","1"
"204","中国","河南","新乡","41","7","1"
"205","中国","河南","焦作","41","8","1"
"206","中国","河南","濮阳","41","9","1"
"207","中国","河南","许昌","41","10","1"
"208","中国","河南","漯河","41","11","1"
"209","中国","河南","三门峡","41","12","1"
"210","中国","河南","南阳","41","13","1"
"211","中国","河南","商丘","41","14","1"
"212","中国","河南","信阳","41","15","1"
"213","中国","河南","周口","41","16","1"
"214","中国","河南","驻马店","41","17","1"
"215","中国","河南","济源","41","18","1"
"216","中国","湖北","武汉","42","1","1"
"217","中国","湖北","黄石","42","2","1"
"218","中国","湖北","十堰","42","3","1"
"219","中国","湖北","宜昌","42","5","1"
"220","中国","湖北","襄阳","42","6","1"
"221","中国","湖北","鄂州","42","7","1"
"222","中国","湖北","荆门","42","8","1"
"223","中国","湖北","孝感","42","9","1"
"224","中国","湖北","荆州","42","10","1"
"225","中国","湖北","黄冈","42","11","1"
"226","中国","湖北","咸宁","42","12","1"
"227","中国","湖北","随州","42","13","1"
"228","中国","湖北","恩施","42","28","1"
"229","中国","湖北","仙桃","42","94","1"
"230","中国","湖北","潜江","42","95","1"
"231","中国","湖北","天门","42","96","1"
"232","中国","湖北","神农架","42","A21","1"
"233","中国","湖南","长沙","43","1","1"
"234","中国","湖南","株洲","43","2","1"
"235","中国","湖南","湘潭","43","3","1"
"236","中国","湖南","衡阳","43","4","1"
"237","中国","湖南","邵阳","43","5","1"
"238","中国","湖南","岳阳","43","6","1"
"239","中国","湖南","常德","43","7","1"
"240","中国","湖南","张家界","43","8","1"
"241","中国","湖南","益阳","43","9","1"
"242","中国","湖南","郴州","43","10","1"
"243","中国","湖南","永州","43","11","1"
"244","中国","湖南","怀化","43","12","1"
"245","中国","湖南","娄底","43","13","1"
"246","中国","湖南","湘西","43","31","1"
"247","中国","广东","广州","44","1","1"
"248","中国","广东","韶关","44","2","1"
"249","中国","广东","深圳","44","3","1"
"250","中国","广东","珠海","44","4","1"
"251","中国","广东","汕头","44","5","1"
"252","中国","广东","佛山","44","6","1"
"253","中国","广东","江门","44","7","1"
"254","中国","广东","湛江","44","8","1"
"255","中国","广东","茂名","44","9","1"
"256","中国","广东","肇庆","44","12","1"
"257","中国","广东","惠州","44","13","1"
"258","中国","广东","梅州","44","14","1"
"259","中国","广东","汕尾","44","15","1"
"260","中国","广东","河源","44","16","1"
"261","中国","广东","阳江","44","17","1"
"262","中国","广东","清远","44","18","1"
"263","中国","广东","东莞","44","19","1"
"264","中国","广东","中山","44","20","1"
"265","中国","广东","潮州","44","51","1"
"266","中国","广东","揭阳","44","52","1"
"267","中国","广东","云浮","44","53","1"
"268","中国","广西","南宁","45","1","1"
"269","中国","广西","柳州","45","2","1"
"270","中国","广西","桂林","45","3","1"
"271","中国","广西","梧州","45","4","1"
"272","中国","广西","北海","45","5","1"
"273","中国","广西","防城港","45","6","1"
"274","中国","广西","钦州","45","7","1"
"275","中国","广西","贵港","45","8","1"
"276","中国","广西","玉林","45","9","1"
"277","中国","广西","百色","45","10","1"
"278","中国","广西","贺州","45","11","1"
"279","中国","广西","河池","45","12","1"
"280","中国","广西","来宾","45","13","1"
"281","中国","广西","崇左","45","14","1"
"282","中国","海南","海口","46","1","1"
"283","中国","海南","三亚","46","2","1"
"284","中国","海南","三沙","46","3","1"
"285","中国","海南","五指山","46","91","1"
"286","中国","海南","琼海","46","92","1"
"287","中国","海南","儋州","46","93","1"
"288","中国","海南","文昌","46","95","1"
"289","中国","海南","万宁","46","96","1"
"290","中国","海南","东方","46","97","1"
"291","中国","海南","定安","46","A25","1"
"292","中国","海南","屯昌","46","A26","1"
"293","中国","海南","澄迈","46","A27","1"
"294","中国","海南","临高","46","A28","1"
"295","中国","海南","白沙","46","A30","1"
"296","中国","海南","昌江","46","A31","1"
"297","中国","海南","乐东","46","A33","1"
"298","中国","海南","陵水","46","A34","1"
"299","中国","海南","保亭","46","A35","1"
"300","中国","海南","琼中","46","A36","1"
"301","中国","重庆","万州","50","1","1"
"302","中国","重庆","涪陵","50","2","1"
"303","中国","重庆","渝中","50","3","1"
"304","中国","重庆","大渡口","50","4","1"
"305","中国","重庆","江北","50","5","1"
"306","中国","重庆","沙坪坝","50","6","1"
"307","中国","重庆","九龙坡","50","7","1"
"308","中国","重庆","南岸","50","8","1"
"309","中国","重庆","北碚","50","9","1"
"310","中国","重庆","两江新区","50","85","1"
"311","中国","重庆","万盛","50","10","1"
"312","中国","重庆","双桥","50","11","1"
"313","中国","重庆","渝北","50","12","1"
"314","中国","重庆","巴南","50","13","1"
"315","中国","重庆","长寿","50","21","1"
"316","中国","重庆","綦江","50","22","1"
"317","中国","重庆","潼南","50","23","1"
"318","中国","重庆","铜梁","50","24","1"
"319","中国","重庆","大足","50","25","1"
"320","中国","重庆","荣昌","50","26","1"
"321","中国","重庆","璧山","50","27","1"
"322","中国","重庆","梁平","50","28","1"
"323","中国","重庆","城口","50","29","1"
"324","中国","重庆","丰都","50","30","1"
"325","中国","重庆","垫江","50","31","1"
"326","中国","重庆","武隆","50","32","1"
"327","中国","重庆","忠县","50","33","1"
"328","中国","重庆","开县","50","34","1"
"329","中国","重庆","云阳","50","35","1"
"330","中国","重庆","奉节","50","36","1"
"331","中国","重庆","巫山","50","37","1"
"332","中国","重庆","巫溪","50","38","1"
"333","中国","重庆","黔江","50","39","1"
"334","中国","重庆","石柱","50","40","1"
"335","中国","重庆","秀山","50","41","1"
"336","中国","重庆","酉阳","50","42","1"
"337","中国","重庆","彭水","50","43","1"
"338","中国","重庆","江津","50","81","1"
"339","中国","重庆","合川","50","82","1"
"340","中国","重庆","永川","50","83","1"
"341","中国","重庆","南川","50","84","1"
"342","中国","四川","成都","51","1","1"
"343","中国","四川","自贡","51","3","1"
"344","中国","四川","攀枝花","51","4","1"
"345","中国","四川","泸州","51","5","1"
"346","中国","四川","德阳","51","6","1"
"347","中国","四川","绵阳","51","7","1"
"348","中国","四川","广元","51","8","1"
"349","中国","四川","遂宁","51","9","1"
"350","中国","四川","内江","51","10","1"
"351","中国","四川","乐山","51","11","1"
"352","中国","四川","南充","51","13","1"
"353","中国","四川","眉山","51","14","1"
"354","中国","四川","宜宾","51","15","1"
"355","中国","四川","广安","51","16","1"
"356","中国","四川","达州","51","17","1"
"357","中国","四川","雅安","51","18","1"
"358","中国","四川","巴中","51","19","1"
"359","中国","四川","资阳","51","20","1"
"360","中国","四川","阿坝","51","32","1"
"361","中国","四川","甘孜","51","33","1"
"362","中国","四川","凉山","51","34","1"
"363","中国","贵州","贵阳","52","1","1"
"364","中国","贵州","六盘水","52","2","1"
"365","中国","贵州","遵义","52","3","1"
"366","中国","贵州","安顺","52","4","1"
"367","中国","贵州","铜仁","52","22","1"
"368","中国","贵州","黔西南","52","23","1"
"369","中国","贵州","毕节","52","24","1"
"370","中国","贵州","黔东南","52","26","1"
"371","中国","贵州","黔南","52","27","1"
"372","中国","云南","昆明","53","1","1"
"373","中国","云南","曲靖","53","3","1"
"374","中国","云南","玉溪","53","4","1"
"375","中国","云南","保山","53","5","1"
"376","中国","云南","昭通","53","6","1"
"377","中国","云南","丽江","53","7","1"
"378","中国","云南","普洱","53","8","1"
"379","中国","云南","临沧","53","9","1"
"380","中国","云南","楚雄","53","23","1"
"381","中国","云南","红河","53","25","1"
"382","中国","云南","文山","53","26","1"
"383","中国","云南","西双版纳","53","28","1"
"384","中国","云南","大理","53","29","1"
"385","中国","云南","德宏","53","31","1"
"386","中国","云南","怒江","53","33","1"
"387","中国","云南","迪庆","53","34","1"
"388","中国","西藏","拉萨","54","1","1"
"389","中国","西藏","昌都","54","21","1"
"390","中国","西藏","山南","54","22","1"
"391","中国","西藏","日喀则","54","23","1"
"392","中国","西藏","那曲","54","24","1"
"393","中国","西藏","阿里","54","25","1"
"394","中国","西藏","林芝","54","26","1"
"395","中国","陕西","西安","61","1","1"
"396","中国","陕西","铜川","61","2","1"
"397","中国","陕西","宝鸡","61","3","1"
"398","中国","陕西","咸阳","61","4","1"
"399","中国","陕西","渭南","61","5","1"
"400","中国","陕西","延安","61","6","1"
"401","中国","陕西","汉中","61","7","1"
"402","中国","陕西","榆林","61","8","1"
"403","中国","陕西","安康","61","9","1"
"404","中国","陕西","商洛","61","10","1"
"405","中国","甘肃","兰州市","62","1","1"
"406","中国","甘肃","嘉峪关","62","2","1"
"407","中国","甘肃","金昌","62","3","1"
"408","中国","甘肃","白银","62","4","1"
"409","中国","甘肃","天水","62","5","1"
"410","中国","甘肃","武威","62","6","1"
"411","中国","甘肃","张掖","62","7","1"
"412","中国","甘肃","平凉","62","8","1"
"413","中国","甘肃","酒泉","62","9","1"
"414","中国","甘肃","庆阳","62","10","1"
"415","中国","甘肃","定西","62","11","1"
"416","中国","甘肃","陇南","62","12","1"
"417","中国","甘肃","临夏","62","29","1"
"418","中国","甘肃","甘南","62","30","1"
"419","中国","青海","西宁","63","1","1"
"420","中国","青海","海东","63","21","1"
"421","中国","青海","海北","63","22","1"
"422","中国","青海","黄南","63","23","1"
"423","中国","青海","海南","63","25","1"
"424","中国","青海","果洛","63","26","1"
"425","中国","青海","玉树","63","27","1"
"426","中国","青海","海西","63","28","1"
"427","中国","宁夏","银川","64","1","1"
"428","中国","宁夏","石嘴山","64","2","1"
"429","中国","宁夏","吴忠","64","3","1"
"430","中国","宁夏","固原","64","4","1"
"431","中国","宁夏","中卫","64","5","1"
"432","中国","新疆","乌鲁木齐","65","1","1"
"433","中国","新疆","克拉玛依","65","2","1"
"434","中国","新疆","吐鲁番","65","21","1"
"435","中国","新疆","哈密","65","22","1"
"436","中国","新疆","昌吉","65","23","1"
"437","中国","新疆","博尔塔拉","65","27","1"
"438","中国","新疆","巴音郭楞","65","28","1"
"439","中国","新疆","阿克苏","65","29","1"
"440","中国","新疆","克孜勒苏","65","30","1"
"441","中国","新疆","喀什","65","31","1"
"442","中国","新疆","和田","65","32","1"
"443","中国","新疆","伊犁","65","40","1"
"444","中国","新疆","塔城","65","42","1"
"445","中国","新疆","阿勒泰","65","43","1"
"446","中国","新疆","石河子","65","91","1"
"447","中国","新疆","阿拉尔","65","92","1"
"448","中国","新疆","图木舒克","65","93","1"
"449","中国","新疆","五家渠","65","94","1"
"450","中国","新疆","北屯","65","95","1"
"451","中国","台湾","台北市","71","1","1"
"452","中国","台湾","高雄市","71","2","1"
"453","中国","台湾","基隆市","71","3","1"
"454","中国","台湾","台中市","71","4","1"
"455","中国","台湾","台南市","71","5","1"
"456","中国","台湾","新竹市","71","6","1"
"457","中国","台湾","嘉义市","71","7","1"
"458","中国","台湾","台北县","71","8","1"
"459","中国","台湾","宜兰县","71","9","1"
"460","中国","台湾","桃园县","71","10","1"
"461","中国","台湾","新竹县","71","11","1"
"462","中国","台湾","苗栗县","71","12","1"
"463","中国","台湾","台中县","71","13","1"
"464","中国","台湾","彰化县","71","14","1"
"465","中国","台湾","南投县","71","15","1"
"466","中国","台湾","云林县","71","16","1"
"467","中国","台湾","嘉义县","71","17","1"
"468","中国","台湾","台南县","71","18","1"
"469","中国","台湾","高雄县","71","19","1"
"470","中国","台湾","屏东县","71","20","1"
"471","中国","台湾","台东县","71","22","1"
"472","中国","台湾","花莲县","71","23","1"
"473","中国","台湾","澎湖县","71","21","1"
"474","中国","香港","中西区","81","HCW","1"
"475","中国","香港","东区","81","HEA","1"
"476","中国","香港","九龙城区","81","KKC","1"
"477","中国","香港","观塘区","81","KKT","1"
"478","中国","香港","南区","81","HSO","1"
"479","中国","香港","深水埗区","81","KSS","1"
"480","中国","香港","黄大仙区","81","KWT","1"
"481","中国","香港","湾仔区","81","HWC","1"
"482","中国","香港","油尖旺区","81","KYT","1"
"483","中国","香港","离岛区","81","NIS","1"
"484","中国","香港","葵青区","81","NKT","1"
"485","中国","香港","北区","81","NNO","1"
"486","中国","香港","西贡区","81","NSK","1"
"487","中国","香港","沙田区","81","NST","1"
"488","中国","香港","屯门区","81","NTM","1"
"489","中国","香港","大埔区","81","NTP","1"
"490","中国","香港","荃湾区","81","NTW","1"
